Flow_ID,Client_IP_1,Client_IP_2,Client_IP_3,Client_IP_4,Client_IP,Client_Port,Server_IP_1,Server_IP_2,Server_IP_3,Server_IP_4,Server_IP,Server_Port,Transport,Start,End,Duration,Frames,Payload_Bytes,TCP_Flags,File_ID,Gannt_Chart
207,77,197,128,84,1304789076,45332,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,21,11548,  APRS,1,
209,77,197,128,117,1304789109,17091,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,21,11498,  APRS,1,
210,41,177,3,224,699466720,65163,41,177,117,184,699495864,1606,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,195,43165,  AP   ,1,
216,244,3,210,197,4093891269,80,77,55,145,124,1295487356,9871,TCP,12/17/2009 16:37,12/17/2009 16:40,02:37.,103,69278,  AP   ,1,
224,41,177,241,108,699527532,3389,244,3,93,198,4093861318,4112,TCP,12/17/2009 16:37,12/17/2009 16:41,03:42.,422,11595,  AP   ,1,
225,244,3,31,98,4093845346,53980,41,177,98,220,699491036,7000,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,5,524,  AP   ,1,
228,244,3,31,98,4093845346,53854,41,177,98,220,699491036,7000,TCP,12/17/2009 16:37,12/17/2009 16:38,00:33.,48,19755,  AP   ,1,
237,68,159,161,82,1151312210,59717,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,52,17934,  APRSF,1,
238,41,177,26,176,699472560,80,68,157,168,2,1151182850,40079,TCP,12/17/2009 16:37,12/17/2009 16:37,00:21.,181,58467,  AP  F,1,
243,41,177,26,176,699472560,80,122,39,210,202,2049430218,43820,TCP,12/17/2009 16:37,12/17/2009 16:40,02:57.,6,8280,  AP   ,1,
244,186,181,116,61,3132453949,4402,41,177,98,142,699490958,80,TCP,12/17/2009 16:37,12/17/2009 16:38,00:43.,85,66094,  AP  F,1,
251,244,3,185,64,4093884736,1659,41,177,98,220,699491036,7020,TCP,12/17/2009 16:37,12/17/2009 16:40,02:46.,74,21114,  AP   ,1,
253,244,3,210,254,4093891326,19813,244,3,77,218,4093857242,1214,TCP,12/17/2009 16:37,12/17/2009 16:40,03:20.,12,72,  AP   ,1,
255,244,3,213,210,4093892050,7164,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,12,2302,  AP SF,1,
256,244,3,160,239,4093878511,38145,204,48,176,121,3425742969,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,10,2229,  AP SF,1,
259,244,3,106,254,4093864702,4227,244,3,210,254,4093891326,19813,TCP,12/17/2009 16:37,12/17/2009 16:40,03:21.,12,72,  AP   ,1,
260,68,157,168,3,1151182851,34711,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:14.,165,59229,  AP SF,1,
262,41,177,75,188,699485116,1597,41,177,98,220,699491036,7030,TCP,12/17/2009 16:37,12/17/2009 16:39,02:31.,90,10632,  AP   ,1,
265,90,38,138,255,1512475391,6139,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,21,8323,  AP SF,1,
266,77,197,128,142,1304789134,56920,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,22,12990,  APRS,1,
271,244,3,160,239,4093878511,38146,198,123,241,156,3330011548,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,19,8318,  AP SF,1,
276,41,177,3,224,699466720,38682,41,177,117,184,699495864,1607,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,225,60090,  AP   ,1,
278,41,106,180,204,694858956,58774,41,177,241,46,699527470,443,TCP,12/17/2009 16:37,12/17/2009 16:41,03:42.,108,5678,  AP   ,1,
291,41,177,3,224,699466720,47468,41,177,117,184,699495864,1610,TCP,12/17/2009 16:37,12/17/2009 16:41,03:40.,199,66150,  AP   ,1,
302,68,157,168,116,1151182964,44421,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:15.,99,32894,  AP SF,1,
309,41,177,3,224,699466720,50396,41,177,117,184,699495864,1610,TCP,12/17/2009 16:37,12/17/2009 16:41,03:40.,147,41250,  AP   ,1,
310,77,197,128,118,1304789110,62801,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,22,11520,  APRS,1,
312,41,177,180,197,699512005,7604,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,21,8912,  AP SF,1,
